level,wood,clay,iron,workers/total,new_production
1,65.0,50.0,40.0,10 /  10,30
2,83.0,63.0,50.0,1 /  11,35
3,105.0,80.0,62.0,2 /  13,41
4,133.0,101.0,76.0,2 /  15,47
5,169.0,128.0,95.0,2 /  17,55
6,215.0,162.0,117.0,2 /  19,64
7,273.0,205.0,145.0,3 /  22,74
8,346.0,259.0,180.0,3 /  25,86
9,440.0,328.0,224.0,4 /  29,100
10,559.0,415.0,277.0,4 /  33,117
11,709.0,525.0,344.0,4 /  37,136
12,901.0,664.0,426.0,5 /  42,158
13,1.144,840.0,529.0,6 /  48,184
14,1.453,1.062,655.0,7 /  55,214
15,1.846,1.343,813.0,8 /  63,249
16,2.344,1.7,1.008,8 /  71,289
17,2.977,2.15,1.25,10 /  81,337
18,3.781,2.72,1.55,12 /  93,391
19,4.802,3.44,1.922,13 /  106,455
20,6.098,4.352,2.383,15 /  121,530
21,7.744,5.505,2.955,16 /  137,616
22,9.835,6.964,3.664,20 /  157,717
23,12.491,8.81,4.543,22 /  179,833
24,15.863,11.144,5.633,25 /  204,969
25,20.147,14.098,6.985,28 /  232,1127
26,25.586,17.833,8.662,33 /  265,1311
27,32.495,22.559,10.74,37 /  302,1525
28,41.268,28.537,13.318,42 /  344,1774
29,52.41,36.1,16.515,48 /  392,2063
30,66.561,45.666,20.478,55 /  447,2400
