level,wood,clay,iron,workers/total,new_production
1,75.0,65.0,70.0,10 /  10,30
2,94.0,83.0,87.0,2 /  12,35
3,118.0,106.0,108.0,2 /  14,41
4,147.0,135.0,133.0,2 /  16,47
5,184.0,172.0,165.0,3 /  19,55
6,231.0,219.0,205.0,3 /  22,64
7,289.0,279.0,254.0,4 /  26,74
8,362.0,356.0,316.0,4 /  30,86
9,453.0,454.0,391.0,5 /  35,100
10,567.0,579.0,485.0,6 /  41,117
11,710.0,738.0,602.0,7 /  48,136
12,889.0,941.0,746.0,8 /  56,158
13,1.113,1.2,925.0,10 /  66,184
14,1.393,1.529,1.147,11 /  77,214
15,1.744,1.95,1.422,13 /  90,249
16,2.183,2.486,1.764,15 /  105,289
17,2.734,3.17,2.187,18 /  123,337
18,3.422,4.042,2.712,21 /  144,391
19,4.285,5.153,3.363,25 /  169,455
20,5.365,6.571,4.17,28 /  197,530
21,6.717,8.378,5.17,34 /  231,616
22,8.409,10.681,6.411,39 /  270,717
23,10.528,13.619,7.95,46 /  316,833
24,13.181,17.364,9.858,54 /  370,969
25,16.503,22.139,12.224,63 /  433,1127
26,20.662,28.227,15.158,74 /  507,1311
27,25.869,35.99,18.796,86 /  593,1525
28,32.388,45.887,23.307,100 /  693,1774
29,40.549,58.506,28.9,118 /  811,2063
30,50.768,74.595,35.837,138 /  949,2400
