level,wood,clay,iron,workers/total,time_factor
1,270,240,260,8 /  8,0.63
2,340,307,328,1 /  9,0.59
3,429,393,413,2 /  11,0.56
4,540,503,520,2 /  13,0.53
5,681,644,655,2 /  15,0.5
6,857,825,826,3 /  18,0.47
7,1080,1056,1040,3 /  21,0.44
8,1361,1351,1311,3 /  24,0.42
9,1715,1729,1652,4 /  28,0.39
10,2161,2214,2081,5 /  33,0.37
11,2723,2833,2622,5 /  38,0.35
12,3431,3627,3304,7 /  45,0.33
13,4323,4642,4163,8 /  53,0.31
14,5447,5942,5246,9 /  62,0.29
15,6864,7606,6609,10 /  72,0.28
16,8648,9736,8328,12 /  84,0.26
17,10897,12462,10493,15 /  99,0.25
18,13730,15951,13221,16 /  115,0.23
19,17300,20417,16659,20 /  135,0.22
20,21797,26134,20990,23 /  158,0.21
